transaction_id,customer_id,amount
1,38,846.27
2,93,273.01
3,26,563.98
4,5,1215.04
5,93,1383.13
6,78,197.55
7,1,1973.38
8,87,1811.91
9,41,2005.04
10,11,991.03
11,71,251.93
12,67,1538.33
13,86,1615.74
14,18,1997.94
15,56,1218.07
16,89,1952.27
17,63,1767.79
18,16,1813.12
19,44,406.17
20,19,2213.42
21,18,968.91
22,94,293.97
23,100,1940.9
24,90,634.78
25,66,100.34
26,13,838.08
27,11,1103.35
28,43,414.89
29,79,2140.37
30,71,1541.17
31,97,632.35
32,39,137.79
33,94,2449.48
34,66,1738.2
35,3,1930.41
36,57,80.98
37,89,548.15
38,62,3.23
39,37,1492.74
40,49,2126.52
41,20,2478.72
42,94,189.73
43,10,803.23
44,37,1979.13
45,47,188.07
46,95,29.26
47,42,353.14
48,42,960.97
49,61,539.41
50,93,1623.52
51,1,731.85
52,96,331.95
53,75,1893.11
54,16,810.9
55,28,1226.52
56,26,822.04
57,28,1436.38
58,34,1123.01
59,99,871.4
60,92,496.59
61,42,1154.93
62,62,23.31
63,41,1820.24
64,88,1199.94
65,41,771.51
66,76,1101.39
67,40,784.03
68,55,1029.71
69,42,1020.83
70,27,1090.17
71,30,2005.11
72,23,503.23
73,71,1315.77
74,3,969.52
75,9,758.97
76,76,2267.08
77,57,2319.04
78,93,1397.37
79,30,1133.33
80,79,1892.53
81,68,715.33
82,66,2423.17
83,71,1874.32
84,60,2010.24
85,84,884.08
86,43,324.57
87,26,2042.46
88,11,955.23
89,47,1099.76
90,33,326.64
91,8,1766.33
92,46,2402.52
93,76,2066.2
94,43,635.82
95,39,430.49
96,100,715.81
97,48,1414.12
98,63,2070.42
99,23,601.95
100,77,708.16
101,7,698.44
102,32,2353.97
103,1,434.8
104,39,1815.22
105,82,296.25
106,75,2469.44
107,68,639.4
108,27,459.14
109,86,2474.0
110,75,934.37
111,84,1639.82
112,76,108.62
113,43,1788.03
114,44,67.61
115,12,1565.25
116,61,1457.96
117,82,1096.93
118,36,343.06
119,94,1520.25
120,100,1447.26
121,65,1387.22
122,1,819.8
123,66,2312.32
124,26,2027.2
125,9,415.8
126,89,634.18
127,33,472.99
128,48,2390.73
129,56,575.75
130,31,2178.02
131,55,2266.82
132,68,1788.77
133,2,1114.33
134,69,253.31
135,97,2413.64
136,73,2448.69
137,76,2012.91
138,21,2167.3
139,76,412.16
140,24,1128.94
141,55,1057.51
142,91,1513.54
143,2,1955.83
144,61,1869.16
145,86,875.46
146,94,839.6
147,38,2118.49
148,15,888.4
149,73,1276.31
150,95,2025.88
151,40,420.01
152,86,1790.28
153,21,2266.65
154,10,1539.96
155,71,1093.96
156,67,2211.18
157,78,132.45
158,8,2322.1
159,15,2155.41
160,94,1819.4
161,94,1126.01
162,75,2323.6
163,21,505.75
164,15,1120.73
165,17,895.91
166,47,248.15
167,84,1831.74
168,52,1393.82
169,86,1693.34
170,76,2152.27
171,29,1361.36
172,40,2019.56
173,8,433.26
174,87,1956.7
175,42,895.81
176,45,2018.23
177,94,1199.38
178,18,1216.43
179,85,1236.96
180,57,1669.51
181,25,2208.26
182,82,1222.8
183,42,991.51
184,62,313.14
185,82,2023.64
186,97,653.28
187,89,500.45
188,15,2228.1
189,59,1175.92
190,41,74.22
191,49,1570.82
192,94,2472.91
193,33,76.42
194,99,1855.12
195,56,2237.38
196,9,1257.39
197,86,533.96
198,23,639.55
199,88,1768.14
200,64,177.55
201,91,396.9
202,14,1605.53
203,99,2149.51
204,5,465.79
205,61,544.45
206,63,99.89
207,28,1725.16
208,54,153.39
209,74,1608.31
210,18,1604.88
211,69,1347.49
212,54,609.01
213,4,165.73
214,34,1095.11
215,25,1880.02
216,70,559.78
217,17,2218.4
218,94,744.34
219,19,1621.88
220,50,963.79
221,4,2307.63
222,65,473.08
223,2,547.77
224,12,817.05
225,4,204.83
226,53,2473.35
227,83,810.94
228,10,740.9
229,66,2089.94
230,63,1204.17
231,88,1971.47
232,48,128.01
233,81,387.19
234,27,1278.55
235,95,1117.8
236,23,1359.59
237,76,1647.88
238,89,989.76
239,87,1832.23
240,1,1481.65
241,20,470.68
242,7,399.91
243,29,950.43
244,67,1052.64
245,43,1723.47
246,57,848.35
247,11,986.68
248,2,460.46
249,56,753.99
250,42,352.19
251,71,11.83
252,5,812.69
253,37,1683.7
254,83,2349.37
255,16,2260.08
256,22,465.68
257,10,300.64
258,27,1549.12
259,99,24.93
260,17,1830.34
261,40,1060.15
262,54,2261.08
263,100,510.6
264,32,2110.73
265,66,256.27
266,82,492.97
267,23,670.25
268,16,1314.02
269,57,2281.49
270,93,2465.33
271,94,2453.57
272,71,2118.33
273,10,1739.84
274,97,146.73
275,9,1623.65
276,80,960.39
277,78,1773.32
278,61,2338.19
279,35,1990.29
280,51,1801.63
281,94,493.58
282,72,614.45
283,36,421.83
284,33,299.62
285,31,1049.89
286,41,127.85
287,58,481.79
288,10,1668.68
289,54,134.22
290,59,1966.5
291,84,88.2
292,49,2460.25
293,12,1713.7
294,56,2132.17
295,91,454.18
296,12,556.57
297,40,578.47
298,46,587.48
299,38,919.53
300,46,1172.68
301,26,647.15
302,55,778.85
303,70,229.52
304,70,1404.33
305,82,178.43
306,69,1467.22
307,21,2463.39
308,28,375.66
309,86,2192.21
310,69,23.79
311,27,1256.93
312,56,1828.9
